State,Race,Table Names,Year,Population
IL,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,3400
IL,Total,PopByRace2016.csv,2016,12491200
IL,White,PopByRace2016.csv,2016,7719800
IN,American Indian/Alaska Native,PopByRace2016.csv,2016,13500
IN,Asian,PopByRace2016.csv,2016,133600
IN,Black,PopByRace2016.csv,2016,582900
IN,Hispanic,PopByRace2016.csv,2016,435200
IN,Multiple Races,PopByRace2016.csv,2016,134200
IN,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
IN,Total,PopByRace2016.csv,2016,6431400
IN,White,PopByRace2016.csv,2016,5129200
IA,American Indian/Alaska Native,PopByRace2016.csv,2016,9000
IA,Asian,PopByRace2016.csv,2016,73600
IA,Black,PopByRace2016.csv,2016,98700
IA,Hispanic,PopByRace2016.csv,2016,171300
IA,Multiple Races,PopByRace2016.csv,2016,50100
IA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
IA,Total,PopByRace2016.csv,2016,3030400
IA,White,PopByRace2016.csv,2016,2623500
KS,American Indian/Alaska Native,PopByRace2016.csv,2016,17600
KS,Asian,PopByRace2016.csv,2016,74800
KS,Black,PopByRace2016.csv,2016,157400
KS,Hispanic,PopByRace2016.csv,2016,329400
KS,Multiple Races,PopByRace2016.csv,2016,82200
KS,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
KS,Total,PopByRace2016.csv,2016,2817000
KS,White,PopByRace2016.csv,2016,2154300
KY,American Indian/Alaska Native,PopByRace2016.csv,2016,9300
KY,Asian,PopByRace2016.csv,2016,60600
KY,Black,PopByRace2016.csv,2016,342700
KY,Hispanic,PopByRace2016.csv,2016,144300
KY,Multiple Races,PopByRace2016.csv,2016,77100
KY,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
KY,Total,PopByRace2016.csv,2016,4287700
KY,White,PopByRace2016.csv,2016,3652100
LA,American Indian/Alaska Native,PopByRace2016.csv,2016,24100
LA,Asian,PopByRace2016.csv,2016,75800
LA,Black,PopByRace2016.csv,2016,1440900
LA,Hispanic,PopByRace2016.csv,2016,220700
LA,Multiple Races,PopByRace2016.csv,2016,79000
LA,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
LA,Total,PopByRace2016.csv,2016,4530500
LA,White,PopByRace2016.csv,2016,2689200
ME,American Indian/Alaska Native,PopByRace2016.csv,2016,7100
ME,Asian,PopByRace2016.csv,2016,15300
ME,Black,PopByRace2016.csv,2016,20000
ME,Hispanic,PopByRace2016.csv,2016,19400
ME,Multiple Races,PopByRace2016.csv,2016,21300
ME,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
ME,Total,PopByRace2016.csv,2016,1293800
ME,White,PopByRace2016.csv,2016,1210500
MD,American Indian/Alaska Native,PopByRace2016.csv,2016,9300
MD,Asian,PopByRace2016.csv,2016,366400
MD,Black,PopByRace2016.csv,2016,1716500
MD,Hispanic,PopByRace2016.csv,2016,575200
MD,Multiple Races,PopByRace2016.csv,2016,176900
MD,Native Hawaiian/Other Pacific Islander,PopByRace2016.csv,2016,
MD,Total,PopByRace2016.csv,2016,5856500
MD,White,PopByRace2016.csv,2016,3010100
MA,American Indian/Alaska Native,PopByRace2016.csv,2016,8600
